day,L,M,S
0,1,34.461799999999997,3.6859999999999997E-2
1,1,34.561999999999998,3.6560000000000002E-2
2,1,34.662199999999999,3.6249999999999998E-2
3,1,34.762500000000003,3.5950000000000003E-2
4,1,34.862699999999997,3.5639999999999998E-2
5,1,34.962899999999998,3.533E-2
6,1,35.063099999999999,3.5029999999999999E-2
7,1,35.163400000000003,3.4720000000000001E-2
8,1,35.263599999999997,3.4410000000000003E-2
9,1,35.363799999999998,3.4110000000000001E-2
10,1,35.463999999999999,3.3799999999999997E-2
11,1,35.564300000000003,3.3500000000000002E-2
12,1,35.664499999999997,3.3189999999999997E-2
13,1,35.764699999999998,3.288E-2
14,1,35.864899999999999,3.2579999999999998E-2
15,1,35.965200000000003,3.2480000000000002E-2
16,1,36.063200000000002,3.2390000000000002E-2
17,1,36.158999999999999,3.2300000000000002E-2
18,1,36.252600000000001,3.2210000000000003E-2
19,1,36.344099999999997,3.2129999999999999E-2
20,1,36.433799999999998,3.2050000000000002E-2
21,1,36.521599999999999,3.1969999999999998E-2
22,1,36.607799999999997,3.1890000000000002E-2
23,1,36.6922,3.1820000000000001E-2
24,1,36.775100000000002,3.175E-2
25,1,36.8566,3.168E-2
26,1,36.936599999999999,3.1609999999999999E-2
27,1,37.0152,3.1539999999999999E-2
28,1,37.092599999999997,3.1480000000000001E-2
29,1,37.168700000000001,3.141E-2
30,1,37.243499999999997,3.1350000000000003E-2
31,1,37.3172,3.1289999999999998E-2
32,1,37.389800000000001,3.1230000000000001E-2
33,1,37.461199999999998,3.1179999999999999E-2
34,1,37.531599999999997,3.1119999999999998E-2
35,1,37.600999999999999,3.107E-2
36,1,37.669400000000003,3.1009999999999999E-2
37,1,37.736800000000002,3.0960000000000001E-2
38,1,37.803400000000003,3.091E-2
39,1,37.869,3.0859999999999999E-2
40,1,37.933799999999998,3.0810000000000001E-2
41,1,37.997799999999998,3.0759999999999999E-2
42,1,38.060899999999997,3.0720000000000001E-2
43,1,38.1233,3.0669999999999999E-2
44,1,38.185000000000002,3.0620000000000001E-2
45,1,38.245899999999999,3.058E-2
46,1,38.306100000000001,3.0540000000000001E-2
47,1,38.365499999999997,3.049E-2
48,1,38.424300000000002,3.0450000000000001E-2
49,1,38.482399999999998,3.041E-2
50,1,38.539900000000003,3.0370000000000001E-2
51,1,38.596800000000002,3.0329999999999999E-2
52,1,38.652999999999999,3.0290000000000001E-2
53,1,38.7087,3.0249999999999999E-2
54,1,38.763800000000003,3.0210000000000001E-2
55,1,38.818300000000001,3.0179999999999998E-2
56,1,38.872399999999999,3.014E-2
57,1,38.925800000000002,3.0099999999999998E-2
58,1,38.9788,3.007E-2
59,1,39.031300000000002,3.0030000000000001E-2
60,1,39.083399999999997,0.03
61,1,39.134900000000002,2.997E-2
62,1,39.186100000000003,2.9929999999999998E-2
63,1,39.236800000000002,2.9899999999999999E-2
64,1,39.287100000000002,2.9870000000000001E-2
65,1,39.3369,2.9839999999999998E-2
66,1,39.386299999999999,2.981E-2
67,1,39.435299999999998,2.9780000000000001E-2
68,1,39.483800000000002,2.9749999999999999E-2
69,1,39.531999999999996,2.972E-2
70,1,39.579700000000003,2.9690000000000001E-2
71,1,39.627099999999999,2.9659999999999999E-2
72,1,39.673999999999999,2.963E-2
73,1,39.720599999999997,2.9610000000000001E-2
74,1,39.766800000000003,2.9579999999999999E-2
75,1,39.8127,2.955E-2
76,1,39.8581,2.9530000000000001E-2
77,1,39.903300000000002,2.9499999999999998E-2
78,1,39.948,2.9479999999999999E-2
79,1,39.992400000000004,2.945E-2
80,1,40.036499999999997,2.9430000000000001E-2
81,1,40.080300000000001,2.9399999999999999E-2
82,1,40.123699999999999,2.938E-2
