day,L,M,S
0,1,33.878700000000002,3.4959999999999998E-2
1,1,33.975000000000001,3.4790000000000001E-2
2,1,34.071399999999997,3.4610000000000002E-2
3,1,34.167700000000004,3.4439999999999998E-2
4,1,34.264000000000003,3.4259999999999999E-2
5,1,34.360300000000002,3.4090000000000002E-2
6,1,34.456600000000002,3.3910000000000003E-2
7,1,34.552900000000001,3.3739999999999999E-2
8,1,34.649299999999997,3.356E-2
9,1,34.745600000000003,3.3390000000000003E-2
10,1,34.841900000000003,3.3210000000000003E-2
11,1,34.938200000000002,3.304E-2
12,1,35.034500000000001,3.286E-2
13,1,35.130899999999997,3.2689999999999997E-2
14,1,35.227200000000003,3.2509999999999997E-2
15,1,35.321100000000001,3.2480000000000002E-2
16,1,35.412999999999997,3.245E-2
17,1,35.502800000000001,3.2419999999999997E-2
18,1,35.590600000000002,3.2390000000000002E-2
19,1,35.676600000000001,3.236E-2
20,1,35.7607,3.2329999999999998E-2
21,1,35.843000000000004,3.2309999999999998E-2
22,1,35.923699999999997,3.2280000000000003E-2
23,1,36.002800000000001,3.2259999999999997E-2
24,1,36.080300000000001,3.2230000000000002E-2
25,1,36.156300000000002,3.2210000000000003E-2
26,1,36.230899999999998,3.2190000000000003E-2
27,1,36.304200000000002,3.2169999999999997E-2
28,1,36.376100000000001,3.2149999999999998E-2
29,1,36.446800000000003,3.2129999999999999E-2
30,1,36.516300000000001,3.211E-2
31,1,36.584600000000002,3.209E-2
32,1,36.651899999999998,3.2070000000000001E-2
33,1,36.718000000000004,3.2059999999999998E-2
34,1,36.783099999999997,3.2039999999999999E-2
35,1,36.847200000000001,3.202E-2
36,1,36.910400000000003,3.2000000000000001E-2
37,1,36.9726,3.1989999999999998E-2
38,1,37.033999999999999,3.1969999999999998E-2
39,1,37.094499999999996,3.1960000000000002E-2
40,1,37.1541,3.1940000000000003E-2
41,1,37.213000000000001,3.193E-2
42,1,37.271099999999997,3.1910000000000001E-2
43,1,37.328400000000002,3.1899999999999998E-2
44,1,37.385100000000001,3.1879999999999999E-2
45,1,37.441099999999999,3.1870000000000002E-2
46,1,37.496400000000001,3.1859999999999999E-2
47,1,37.551000000000002,3.184E-2
48,1,37.604999999999997,3.1829999999999997E-2
49,1,37.6584,3.1820000000000001E-2
50,1,37.711199999999998,3.1800000000000002E-2
51,1,37.763500000000001,3.1789999999999999E-2
52,1,37.815199999999997,3.1780000000000003E-2
53,1,37.866300000000003,3.177E-2
54,1,37.916899999999998,3.1759999999999997E-2
55,1,37.967100000000002,3.1739999999999997E-2
56,1,38.0167,3.1730000000000001E-2
57,1,38.065800000000003,3.1719999999999998E-2
58,1,38.1145,3.1710000000000002E-2
59,1,38.162799999999997,3.1699999999999999E-2
60,1,38.210599999999999,3.1690000000000003E-2
61,1,38.258000000000003,3.168E-2
62,1,38.305,3.1669999999999997E-2
63,1,38.351599999999998,3.1660000000000001E-2
64,1,38.397799999999997,3.1640000000000001E-2
65,1,38.4437,3.1629999999999998E-2
66,1,38.489100000000001,3.1620000000000002E-2
67,1,38.534199999999998,3.1609999999999999E-2
68,1,38.578899999999997,3.1600000000000003E-2
69,1,38.6233,3.159E-2
70,1,38.667299999999997,3.1579999999999997E-2
71,1,38.710999999999999,3.1579999999999997E-2
72,1,38.754300000000001,3.1570000000000001E-2
73,1,38.7973,3.1559999999999998E-2
74,1,38.840000000000003,3.1550000000000002E-2
75,1,38.882300000000001,3.1539999999999999E-2
76,1,38.924399999999999,3.1530000000000002E-2
77,1,38.966099999999997,3.1519999999999999E-2
78,1,39.0075,3.1510000000000003E-2
79,1,39.048699999999997,3.15E-2
80,1,39.089500000000001,3.1489999999999997E-2
81,1,39.130099999999999,3.1489999999999997E-2
82,1,39.170400000000001,3.1480000000000001E-2
83,1,39.2104,3.1469999999999998E-2
84,1,39.250100000000003,3.1460000000000002E-2
85,1,39.2896,3.1449999999999999E-2
86,1,39.328800000000001,3.1440000000000003E-2
87,1,39.367699999999999,3.1440000000000003E-2
88,1,39.406399999999998,3.143E-2
89,1,39.444800000000001,3.1419999999999997E-2
90,1,39.482999999999997,3.141E-2
91,1,39.521000000000001,3.1399999999999997E-2
92,1,39.558700000000002,3.1399999999999997E-2
93,1,39.596200000000003,3.1390000000000001E-2
94,1,39.633499999999998,3.1379999999999998E-2
95,1,39.670499999999997,3.1370000000000002E-2
96,1,39.707299999999996,3.1370000000000002E-2
97,1,39.7438,3.1359999999999999E-2
98,1,39.780200000000001,3.1350000000000003E-2
99,1,39.816299999999998,3.134E-2
100,1,39.852200000000003,3.134E-2
101,1,39.887900000000002,3.1329999999999997E-2
102,1,39.923299999999998,3.1320000000000001E-2
103,1,39.958599999999997,3.1309999999999998E-2
104,1,39.993600000000001,3.1309999999999998E-2
105,1,40.028399999999998,3.1300000000000001E-2
106,1,40.063000000000002,3.1289999999999998E-2
107,1,40.0974,3.1289999999999998E-2
108,1,40.131599999999999,3.1280000000000002E-2
109,1,40.165599999999998,3.1269999999999999E-2
110,1,40.199399999999997,3.1269999999999999E-2
111,1,40.232999999999997,3.1260000000000003E-2
112,1,40.266399999999997,3.125E-2
113,1,40.299500000000002,3.125E-2
114,1,40.332500000000003,3.124E-2
115,1,40.365299999999998,3.1230000000000001E-2
116,1,40.3979,3.1230000000000001E-2
117,1,40.430300000000003,3.1220000000000001E-2
118,1,40.462499999999999,3.1210000000000002E-2
119,1,40.494599999999998,3.1210000000000002E-2
120,1,40.526400000000002,3.1199999999999999E-2
121,1,40.558100000000003,3.1199999999999999E-2
122,1,40.589500000000001,3.1189999999999999E-2
123,1,40.620800000000003,3.1179999999999999E-2
124,1,40.651899999999998,3.1179999999999999E-2
125,1,40.682899999999997,3.117E-2
126,1,40.7136,3.117E-2
127,1,40.744199999999999,3.116E-2
128,1,40.7746,3.1150000000000001E-2
129,1,40.8048,3.1150000000000001E-2
130,1,40.834800000000001,3.1140000000000001E-2
131,1,40.864699999999999,3.1140000000000001E-2
132,1,40.894399999999997,3.1130000000000001E-2
133,1,40.923900000000003,3.1119999999999998E-2
134,1,40.953299999999999,3.1119999999999998E-2
135,1,40.982399999999998,3.1109999999999999E-2
136,1,41.011499999999998,3.1109999999999999E-2
137,1,41.040300000000002,3.1099999999999999E-2
138,1,41.069000000000003,3.1099999999999999E-2
139,1,41.097499999999997,3.109E-2
140,1,41.125900000000001,3.108E-2
141,1,41.1541,3.108E-2
142,1,41.182099999999998,3.107E-2
143,1,41.21,3.107E-2
144,1,41.2378,3.1060000000000001E-2
145,1,41.265300000000003,3.1060000000000001E-2
146,1,41.292700000000004,3.1050000000000001E-2
147,1,41.32,3.1050000000000001E-2
148,1,41.347099999999998,3.1040000000000002E-2
149,1,41.374099999999999,3.1040000000000002E-2
150,1,41.4009,3.1029999999999999E-2
151,1,41.427500000000002,3.1029999999999999E-2
152,1,41.454000000000001,3.1019999999999999E-2
153,1,41.480400000000003,3.1019999999999999E-2
154,1,41.506599999999999,3.1009999999999999E-2
155,1,41.532699999999998,3.1009999999999999E-2
156,1,41.558599999999998,3.1E-2
157,1,41.584400000000002,3.099E-2
158,1,41.61,3.099E-2
159,1,41.6355,3.0980000000000001E-2
