day,L,M,S
0,1,49.8842,3.7949999999999998E-2
1,1,50.060099999999998,3.7850000000000002E-2
2,1,50.235900000000001,3.7749999999999999E-2
3,1,50.411799999999999,3.764E-2
4,1,50.587600000000002,3.7539999999999997E-2
5,1,50.763500000000001,3.7440000000000001E-2
6,1,50.939300000000003,3.7339999999999998E-2
7,1,51.115200000000002,3.7229999999999999E-2
8,1,51.290999999999997,3.7130000000000003E-2
9,1,51.466900000000003,3.703E-2
10,1,51.642699999999998,3.6929999999999998E-2
11,1,51.818600000000004,3.6819999999999999E-2
12,1,51.994399999999999,3.6720000000000003E-2
13,1,52.170200000000001,3.662E-2
14,1,52.3461,3.6519999999999997E-2
15,1,52.497799999999998,3.6450000000000003E-2
16,1,52.648800000000001,3.6389999999999999E-2
17,1,52.798999999999999,3.6330000000000001E-2
18,1,52.948300000000003,3.6269999999999997E-2
19,1,53.096699999999998,3.6209999999999999E-2
20,1,53.244100000000003,3.6150000000000002E-2
21,1,53.390500000000003,3.6089999999999997E-2
22,1,53.536000000000001,3.603E-2
23,1,53.680500000000002,3.5970000000000002E-2
24,1,53.823900000000002,3.5920000000000001E-2
25,1,53.9664,3.5860000000000003E-2
26,1,54.107900000000001,3.5810000000000002E-2
27,1,54.2485,3.5749999999999997E-2
28,1,54.388100000000001,3.5700000000000003E-2
29,1,54.526800000000001,3.5650000000000001E-2
30,1,54.664499999999997,3.5589999999999997E-2
31,1,54.801200000000001,3.5540000000000002E-2
32,1,54.936799999999998,3.5490000000000001E-2
33,1,55.071399999999997,3.5439999999999999E-2
34,1,55.204900000000002,3.5389999999999998E-2
35,1,55.337400000000002,3.5340000000000003E-2
36,1,55.468800000000002,3.5290000000000002E-2
37,1,55.599200000000003,3.524E-2
38,1,55.728499999999997,3.5200000000000002E-2
39,1,55.8568,3.5150000000000001E-2
40,1,55.984099999999998,3.5099999999999999E-2
41,1,56.110399999999998,3.5060000000000001E-2
42,1,56.235700000000001,3.5009999999999999E-2
43,1,56.359900000000003,3.4959999999999998E-2
44,1,56.4833,3.492E-2
45,1,56.605600000000003,3.4880000000000001E-2
46,1,56.726900000000001,3.483E-2
47,1,56.847200000000001,3.4790000000000001E-2
48,1,56.9666,3.4750000000000003E-2
49,1,57.085099999999997,3.4700000000000002E-2
50,1,57.202599999999997,3.4660000000000003E-2
51,1,57.319200000000002,3.4619999999999998E-2
