day,L,M,S
0,1,49.1477,3.7900000000000003E-2
1,1,49.316600000000001,3.7830000000000003E-2
2,1,49.485399999999998,3.7760000000000002E-2
3,1,49.654299999999999,3.7699999999999997E-2
4,1,49.8232,3.7629999999999997E-2
5,1,49.992100000000001,3.7560000000000003E-2
6,1,50.160899999999998,3.7490000000000002E-2
7,1,50.329799999999999,3.7420000000000002E-2
8,1,50.498699999999999,3.7350000000000001E-2
9,1,50.6676,3.7280000000000001E-2
10,1,50.836500000000001,3.7220000000000003E-2
11,1,51.005299999999998,3.7150000000000002E-2
12,1,51.174199999999999,3.7080000000000002E-2
13,1,51.3431,3.7010000000000001E-2
14,1,51.512,3.6940000000000001E-2
15,1,51.651000000000003,3.6900000000000002E-2
16,1,51.789499999999997,3.687E-2
17,1,51.927199999999999,3.6830000000000002E-2
18,1,52.064100000000003,3.6799999999999999E-2
19,1,52.200200000000002,3.6760000000000001E-2
20,1,52.335299999999997,3.6729999999999999E-2
21,1,52.469499999999996,3.669E-2
22,1,52.602699999999999,3.6659999999999998E-2
23,1,52.734900000000003,3.6630000000000003E-2
24,1,52.866100000000003,3.6600000000000001E-2
25,1,52.996299999999998,3.6560000000000002E-2
26,1,53.125500000000002,3.653E-2
27,1,53.253700000000002,3.6499999999999998E-2
28,1,53.380899999999997,3.6470000000000002E-2
29,1,53.507199999999997,3.644E-2
30,1,53.632599999999996,3.6409999999999998E-2
31,1,53.757100000000001,3.6380000000000003E-2
32,1,53.880600000000001,3.6360000000000003E-2
33,1,54.003100000000003,3.6330000000000001E-2
34,1,54.124699999999997,3.6299999999999999E-2
35,1,54.245399999999997,3.6269999999999997E-2
36,1,54.365099999999998,3.6249999999999998E-2
37,1,54.483899999999998,3.6220000000000002E-2
38,1,54.601799999999997,3.619E-2
39,1,54.718699999999998,3.6170000000000001E-2
40,1,54.834800000000001,3.6139999999999999E-2
41,1,54.9499,3.6119999999999999E-2
42,1,55.0642,3.6089999999999997E-2
43,1,55.177700000000002,3.6069999999999998E-2
44,1,55.290300000000002,3.6040000000000003E-2
45,1,55.402099999999997,3.6020000000000003E-2
46,1,55.512999999999998,3.5999999999999997E-2
47,1,55.622999999999998,3.5970000000000002E-2
48,1,55.732199999999999,3.5950000000000003E-2
49,1,55.840600000000002,3.5929999999999997E-2
50,1,55.9482,3.5909999999999997E-2
51,1,56.054900000000004,3.5880000000000002E-2
52,1,56.160899999999998,3.5860000000000003E-2
53,1,56.265999999999998,3.5839999999999997E-2
54,1,56.370399999999997,3.5819999999999998E-2
55,1,56.4739,3.5799999999999998E-2
56,1,56.576700000000002,3.5779999999999999E-2
57,1,56.678800000000003,3.576E-2
58,1,56.78,3.5740000000000001E-2
59,1,56.880600000000001,3.5720000000000002E-2
60,1,56.980499999999999,3.5700000000000003E-2
61,1,57.079599999999999,3.5680000000000003E-2
62,1,57.178199999999997,3.5659999999999997E-2
63,1,57.2761,3.5639999999999998E-2
64,1,57.3733,3.5619999999999999E-2
65,1,57.469900000000003,3.5610000000000003E-2
