length_cm,L,M,S
45,-0.35210000000000002,2.4409999999999998,9.1819999999999999E-2
45.1,-0.35210000000000002,2.4577,9.1759999999999994E-2
45.2,-0.35210000000000002,2.4744000000000002,9.1700000000000004E-2
45.3,-0.35210000000000002,2.4910999999999999,9.1639999999999999E-2
45.4,-0.35210000000000002,2.5078,9.1590000000000005E-2
45.5,-0.35210000000000002,2.5244,9.153E-2
45.6,-0.35210000000000002,2.5411000000000001,9.1469999999999996E-2
45.7,-0.35210000000000002,2.5577999999999999,9.1410000000000005E-2
45.8,-0.35210000000000002,2.5743999999999998,9.1350000000000001E-2
45.9,-0.35210000000000002,2.5911,9.1289999999999996E-2
46,-0.35210000000000002,2.6076999999999999,9.1240000000000002E-2
46.1,-0.35210000000000002,2.6244000000000001,9.1179999999999997E-2
46.2,-0.35210000000000002,2.6410999999999998,9.1120000000000007E-2
46.3,-0.35210000000000002,2.6577999999999999,9.1060000000000002E-2
46.4,-0.35210000000000002,2.6745000000000001,9.0999999999999998E-2
46.5,-0.35210000000000002,2.6913,9.0939999999999993E-2
46.6,-0.35210000000000002,2.7081,9.0880000000000002E-2
46.7,-0.35210000000000002,2.7248999999999999,9.0829999999999994E-2
46.8,-0.35210000000000002,2.7416999999999998,9.0770000000000003E-2
46.9,-0.35210000000000002,2.7585999999999999,9.0709999999999999E-2
47,-0.35210000000000002,2.7755000000000001,9.0649999999999994E-2
47.1,-0.35210000000000002,2.7925,9.0590000000000004E-2
47.2,-0.35210000000000002,2.8094999999999999,9.0529999999999999E-2
47.3,-0.35210000000000002,2.8266,9.0469999999999995E-2
47.4,-0.35210000000000002,2.8437000000000001,9.042E-2
47.5,-0.35210000000000002,2.8609,9.0359999999999996E-2
47.6,-0.35210000000000002,2.8782000000000001,9.0300000000000005E-2
47.7,-0.35210000000000002,2.8955000000000002,9.0240000000000001E-2
47.8,-0.35210000000000002,2.9129,9.0179999999999996E-2
47.9,-0.35210000000000002,2.9304000000000001,9.0120000000000006E-2
48,-0.35210000000000002,2.948,9.0069999999999997E-2
48.1,-0.35210000000000002,2.9657,9.0010000000000007E-2
48.2,-0.35210000000000002,2.9834999999999998,8.9950000000000002E-2
48.3,-0.35210000000000002,3.0013999999999998,8.9889999999999998E-2
48.4,-0.35210000000000002,3.0194999999999999,8.9829999999999993E-2
48.5,-0.35210000000000002,3.0377000000000001,8.9770000000000003E-2
48.6,-0.35210000000000002,3.056,8.9719999999999994E-2
48.7,-0.35210000000000002,3.0745,8.9660000000000004E-2
48.8,-0.35210000000000002,3.0931000000000002,8.9599999999999999E-2
48.9,-0.35210000000000002,3.1118999999999999,8.9539999999999995E-2
49,-0.35210000000000002,3.1307999999999998,8.9480000000000004E-2
49.1,-0.35210000000000002,3.1499000000000001,8.9429999999999996E-2
49.2,-0.35210000000000002,3.1690999999999998,8.9370000000000005E-2
49.3,-0.35210000000000002,3.1884000000000001,8.931E-2
49.4,-0.35210000000000002,3.2079,8.9249999999999996E-2
49.5,-0.35210000000000002,3.2275999999999998,8.9190000000000005E-2
49.6,-0.35210000000000002,3.2473000000000001,8.9130000000000001E-2
49.7,-0.35210000000000002,3.2671999999999999,8.9080000000000006E-2
49.8,-0.35210000000000002,3.2873000000000001,8.9020000000000002E-2
49.9,-0.35210000000000002,3.3075000000000001,8.8959999999999997E-2
50,-0.35210000000000002,3.3277999999999999,8.8900000000000007E-2
50.1,-0.35210000000000002,3.3481999999999998,8.8840000000000002E-2
50.2,-0.35210000000000002,3.3687999999999998,8.8779999999999998E-2
50.3,-0.35210000000000002,3.3894000000000002,8.8719999999999993E-2
50.4,-0.35210000000000002,3.4102000000000001,8.8669999999999999E-2
50.5,-0.35210000000000002,3.4310999999999998,8.8609999999999994E-2
50.6,-0.35210000000000002,3.4521999999999999,8.8550000000000004E-2
50.7,-0.35210000000000002,3.4733000000000001,8.8489999999999999E-2
50.8,-0.35210000000000002,3.4946000000000002,8.8429999999999995E-2
50.9,-0.35210000000000002,3.5160999999999998,8.8370000000000004E-2
51,-0.35210000000000002,3.5375999999999999,8.831E-2
51.1,-0.35210000000000002,3.5592999999999999,8.8249999999999995E-2
51.2,-0.35210000000000002,3.5811999999999999,8.8190000000000004E-2
51.3,-0.35210000000000002,3.6032000000000002,8.813E-2
51.4,-0.35210000000000002,3.6254,8.8069999999999996E-2
51.5,-0.35210000000000002,3.6476999999999999,8.8010000000000005E-2
51.6,-0.35210000000000002,3.6701999999999999,8.795E-2
51.7,-0.35210000000000002,3.6928999999999998,8.7889999999999996E-2
51.8,-0.35210000000000002,3.7157,8.7830000000000005E-2
51.9,-0.35210000000000002,3.7387999999999999,8.7770000000000001E-2
52,-0.35210000000000002,3.762,8.7709999999999996E-2
52.1,-0.35210000000000002,3.7854999999999999,8.7650000000000006E-2
52.2,-0.35210000000000002,3.8092000000000001,8.7590000000000001E-2
52.3,-0.35210000000000002,3.8330000000000002,8.7529999999999997E-2
52.4,-0.35210000000000002,3.8571,8.7470000000000006E-2
52.5,-0.35210000000000002,3.8814000000000002,8.7410000000000002E-2
52.6,-0.35210000000000002,3.9058999999999999,8.7349999999999997E-2
52.7,-0.35210000000000002,3.9306000000000001,8.7290000000000006E-2
52.8,-0.35210000000000002,3.9554999999999998,8.7230000000000002E-2
52.9,-0.35210000000000002,3.9805999999999999,8.7169999999999997E-2
53,-0.35210000000000002,4.0060000000000002,8.7110000000000007E-2
53.1,-0.35210000000000002,4.0315000000000003,8.7050000000000002E-2
53.2,-0.35210000000000002,4.0571999999999999,8.6989999999999998E-2
53.3,-0.35210000000000002,4.0831,8.6929999999999993E-2
53.4,-0.35210000000000002,4.1092000000000004,8.6870000000000003E-2
53.5,-0.35210000000000002,4.1353999999999997,8.6809999999999998E-2
53.6,-0.35210000000000002,4.1619000000000002,8.6749999999999994E-2
53.7,-0.35210000000000002,4.1885000000000003,8.6690000000000003E-2
53.8,-0.35210000000000002,4.2153,8.6629999999999999E-2
53.9,-0.35210000000000002,4.2422000000000004,8.6569999999999994E-2
54,-0.35210000000000002,4.2693000000000003,8.6510000000000004E-2
54.1,-0.35210000000000002,4.2965,8.6449999999999999E-2
54.2,-0.35210000000000002,4.3239000000000001,8.6389999999999995E-2
54.3,-0.35210000000000002,4.3513000000000002,8.6330000000000004E-2
54.4,-0.35210000000000002,4.3788999999999998,8.6269999999999999E-2
54.5,-0.35210000000000002,4.4066000000000001,8.6209999999999995E-2
54.6,-0.35210000000000002,4.4344000000000001,8.6150000000000004E-2
54.7,-0.35210000000000002,4.4622999999999999,8.6099999999999996E-2
54.8,-0.35210000000000002,4.4903000000000004,8.6040000000000005E-2
54.9,-0.35210000000000002,4.5185000000000004,8.5980000000000001E-2
55,-0.35210000000000002,4.5467000000000004,8.5919999999999996E-2
55.1,-0.35210000000000002,4.5750000000000002,8.5860000000000006E-2
55.2,-0.35210000000000002,4.6033999999999997,8.5800000000000001E-2
55.3,-0.35210000000000002,4.6318999999999999,8.5750000000000007E-2
55.4,-0.35210000000000002,4.6604999999999999,8.5690000000000002E-2
55.5,-0.35210000000000002,4.6891999999999996,8.5629999999999998E-2
55.6,-0.35210000000000002,4.718,8.5580000000000003E-2
55.7,-0.35210000000000002,4.7469000000000001,8.5519999999999999E-2
55.8,-0.35210000000000002,4.7758000000000003,8.5459999999999994E-2
55.9,-0.35210000000000002,4.8048000000000002,8.541E-2
56,-0.35210000000000002,4.8338000000000001,8.5349999999999995E-2
56.1,-0.35210000000000002,4.8628999999999998,8.5290000000000005E-2
56.2,-0.35210000000000002,4.8920000000000003,8.5239999999999996E-2
56.3,-0.35210000000000002,4.9211999999999998,8.5180000000000006E-2
56.4,-0.35210000000000002,4.9504000000000001,8.5129999999999997E-2
56.5,-0.35210000000000002,4.9795999999999996,8.5070000000000007E-2
56.6,-0.35210000000000002,5.0087999999999999,8.5019999999999998E-2
56.7,-0.35210000000000002,5.0381,8.4970000000000004E-2
56.8,-0.35210000000000002,5.0673000000000004,8.4909999999999999E-2
56.9,-0.35210000000000002,5.0965999999999996,8.4860000000000005E-2
57,-0.35210000000000002,5.1258999999999997,8.4809999999999997E-2
57.1,-0.35210000000000002,5.1551,8.4750000000000006E-2
57.2,-0.35210000000000002,5.1844000000000001,8.4699999999999998E-2
57.3,-0.35210000000000002,5.2137000000000002,8.4650000000000003E-2
57.4,-0.35210000000000002,5.2428999999999997,8.4599999999999995E-2
57.5,-0.35210000000000002,5.2721,8.455E-2
57.6,-0.35210000000000002,5.3014000000000001,8.4489999999999996E-2
57.7,-0.35210000000000002,5.3305999999999996,8.4440000000000001E-2
57.8,-0.35210000000000002,5.3597999999999999,8.4390000000000007E-2
57.9,-0.35210000000000002,5.3888999999999996,8.4339999999999998E-2
58,-0.35210000000000002,5.4180000000000001,8.43E-2
58.1,-0.35210000000000002,5.4470999999999998,8.4250000000000005E-2
58.2,-0.35210000000000002,5.4762000000000004,8.4199999999999997E-2
58.3,-0.35210000000000002,5.5053000000000001,8.4150000000000003E-2
58.4,-0.35210000000000002,5.5343,8.4099999999999994E-2
58.5,-0.35210000000000002,5.5632000000000001,8.4059999999999996E-2
58.6,-0.35210000000000002,5.5922000000000001,8.4010000000000001E-2
58.7,-0.35210000000000002,5.6210000000000004,8.3970000000000003E-2
58.8,-0.35210000000000002,5.6498999999999997,8.3919999999999995E-2
58.9,-0.35210000000000002,5.6787000000000001,8.3879999999999996E-2
59,-0.35210000000000002,5.7073999999999998,8.3830000000000002E-2
59.1,-0.35210000000000002,5.7361000000000004,8.3790000000000003E-2
59.2,-0.35210000000000002,5.7647000000000004,8.3750000000000005E-2
59.3,-0.35210000000000002,5.7933000000000003,8.3699999999999997E-2
59.4,-0.35210000000000002,5.8216999999999999,8.3659999999999998E-2
59.5,-0.35210000000000002,5.8501000000000003,8.362E-2
59.6,-0.35210000000000002,5.8784000000000001,8.3580000000000002E-2
59.7,-0.35210000000000002,5.9066999999999998,8.3540000000000003E-2
59.8,-0.35210000000000002,5.9348000000000001,8.3500000000000005E-2
59.9,-0.35210000000000002,5.9627999999999997,8.3460000000000006E-2
60,-0.35210000000000002,5.9907000000000004,8.3419999999999994E-2
60.1,-0.35210000000000002,6.0185000000000004,8.3390000000000006E-2
60.2,-0.35210000000000002,6.0461,8.3349999999999994E-2
60.3,-0.35210000000000002,6.0736999999999997,8.3309999999999995E-2
60.4,-0.35210000000000002,6.1010999999999997,8.3280000000000007E-2
60.5,-0.35210000000000002,6.1284000000000001,8.3239999999999995E-2
60.6,-0.35210000000000002,6.1555999999999997,8.3210000000000006E-2
60.7,-0.35210000000000002,6.1826999999999996,8.3169999999999994E-2
60.8,-0.35210000000000002,6.2096,8.3140000000000006E-2
60.9,-0.35210000000000002,6.2365000000000004,8.3110000000000003E-2
61,-0.35210000000000002,6.2632000000000003,8.3080000000000001E-2
61.1,-0.35210000000000002,6.2899000000000003,8.3040000000000003E-2
61.2,-0.35210000000000002,6.3163999999999998,8.301E-2
61.3,-0.35210000000000002,6.3428000000000004,8.2979999999999998E-2
61.4,-0.35210000000000002,6.3692000000000002,8.2949999999999996E-2
61.5,-0.35210000000000002,6.3954000000000004,8.2919999999999994E-2
61.6,-0.35210000000000002,6.4215,8.2900000000000001E-2
61.7,-0.35210000000000002,6.4474999999999998,8.2869999999999999E-2
61.8,-0.35210000000000002,6.4734999999999996,8.2839999999999997E-2
61.9,-0.35210000000000002,6.4992999999999999,8.2809999999999995E-2
62,-0.35210000000000002,6.5251000000000001,8.2790000000000002E-2
62.1,-0.35210000000000002,6.5507999999999997,8.276E-2
62.2,-0.35210000000000002,6.5763999999999996,8.2729999999999998E-2
62.3,-0.35210000000000002,6.6018999999999997,8.2710000000000006E-2
62.4,-0.35210000000000002,6.6273,8.2680000000000003E-2
