length_cm,L,M,S
45,-0.38329999999999997,2.4607000000000001,9.0289999999999995E-2
45.1,-0.38329999999999997,2.4777,9.0300000000000005E-2
45.2,-0.38329999999999997,2.4946999999999999,9.0300000000000005E-2
45.3,-0.38329999999999997,2.5116999999999998,9.0310000000000001E-2
45.4,-0.38329999999999997,2.5287000000000002,9.0319999999999998E-2
45.5,-0.38329999999999997,2.5457000000000001,9.0329999999999994E-2
45.6,-0.38329999999999997,2.5627,9.0329999999999994E-2
45.7,-0.38329999999999997,2.5796999999999999,9.0340000000000004E-2
45.8,-0.38329999999999997,2.5966999999999998,9.035E-2
45.9,-0.38329999999999997,2.6137000000000001,9.0359999999999996E-2
46,-0.38329999999999997,2.6305999999999998,9.0370000000000006E-2
46.1,-0.38329999999999997,2.6476000000000002,9.0370000000000006E-2
46.2,-0.38329999999999997,2.6646000000000001,9.0380000000000002E-2
46.3,-0.38329999999999997,2.6816,9.0389999999999998E-2
46.4,-0.38329999999999997,2.6985999999999999,9.0399999999999994E-2
46.5,-0.38329999999999997,2.7155,9.0399999999999994E-2
46.6,-0.38329999999999997,2.7326000000000001,9.0410000000000004E-2
46.7,-0.38329999999999997,2.7496,9.042E-2
46.8,-0.38329999999999997,2.7665999999999999,9.0429999999999996E-2
46.9,-0.38329999999999997,2.7837000000000001,9.0440000000000006E-2
47,-0.38329999999999997,2.8007,9.0440000000000006E-2
47.1,-0.38329999999999997,2.8178999999999998,9.0450000000000003E-2
47.2,-0.38329999999999997,2.835,9.0459999999999999E-2
47.3,-0.38329999999999997,2.8521999999999998,9.0469999999999995E-2
47.4,-0.38329999999999997,2.8694000000000002,9.0469999999999995E-2
47.5,-0.38329999999999997,2.8866999999999998,9.0480000000000005E-2
47.6,-0.38329999999999997,2.9041000000000001,9.0490000000000001E-2
47.7,-0.38329999999999997,2.9215,9.0499999999999997E-2
47.8,-0.38329999999999997,2.9390000000000001,9.0499999999999997E-2
47.9,-0.38329999999999997,2.9565000000000001,9.0509999999999993E-2
48,-0.38329999999999997,2.9741,9.0520000000000003E-2
48.1,-0.38329999999999997,2.9918,9.0529999999999999E-2
48.2,-0.38329999999999997,3.0095999999999998,9.0539999999999995E-2
48.3,-0.38329999999999997,3.0274999999999999,9.0539999999999995E-2
48.4,-0.38329999999999997,3.0455000000000001,9.0550000000000005E-2
48.5,-0.38329999999999997,3.0636000000000001,9.0560000000000002E-2
48.6,-0.38329999999999997,3.0817999999999999,9.0569999999999998E-2
48.7,-0.38329999999999997,3.1000999999999999,9.0569999999999998E-2
48.8,-0.38329999999999997,3.1185999999999998,9.0579999999999994E-2
48.9,-0.38329999999999997,3.1372,9.0590000000000004E-2
49,-0.38329999999999997,3.1560000000000001,9.06E-2
49.1,-0.38329999999999997,3.1749000000000001,9.0609999999999996E-2
49.2,-0.38329999999999997,3.1939000000000002,9.0609999999999996E-2
49.3,-0.38329999999999997,3.2130999999999998,9.0620000000000006E-2
49.4,-0.38329999999999997,3.2324999999999999,9.0630000000000002E-2
49.5,-0.38329999999999997,3.2519999999999998,9.0639999999999998E-2
49.6,-0.38329999999999997,3.2717000000000001,9.0649999999999994E-2
49.7,-0.38329999999999997,3.2915000000000001,9.0649999999999994E-2
49.8,-0.38329999999999997,3.3113999999999999,9.0660000000000004E-2
49.9,-0.38329999999999997,3.3315999999999999,9.0670000000000001E-2
50,-0.38329999999999997,3.3517999999999999,9.0679999999999997E-2
50.1,-0.38329999999999997,3.3723000000000001,9.0690000000000007E-2
50.2,-0.38329999999999997,3.3929,9.0690000000000007E-2
50.3,-0.38329999999999997,3.4136000000000002,9.0700000000000003E-2
50.4,-0.38329999999999997,3.4346000000000001,9.0709999999999999E-2
50.5,-0.38329999999999997,3.4557000000000002,9.0719999999999995E-2
50.6,-0.38329999999999997,3.4769000000000001,9.0730000000000005E-2
50.7,-0.38329999999999997,3.4983,9.0740000000000001E-2
50.8,-0.38329999999999997,3.5198999999999998,9.0740000000000001E-2
50.9,-0.38329999999999997,3.5417000000000001,9.0749999999999997E-2
51,-0.38329999999999997,3.5636000000000001,9.0759999999999993E-2
51.1,-0.38329999999999997,3.5855999999999999,9.0770000000000003E-2
51.2,-0.38329999999999997,3.6078000000000001,9.078E-2
51.3,-0.38329999999999997,3.6301999999999999,9.0789999999999996E-2
51.4,-0.38329999999999997,3.6526999999999998,9.0800000000000006E-2
51.5,-0.38329999999999997,3.6753999999999998,9.0800000000000006E-2
51.6,-0.38329999999999997,3.6981999999999999,9.0810000000000002E-2
51.7,-0.38329999999999997,3.7212000000000001,9.0819999999999998E-2
51.8,-0.38329999999999997,3.7444000000000002,9.0829999999999994E-2
51.9,-0.38329999999999997,3.7677,9.0840000000000004E-2
52,-0.38329999999999997,3.7911000000000001,9.085E-2
52.1,-0.38329999999999997,3.8147000000000002,9.0859999999999996E-2
52.2,-0.38329999999999997,3.8384999999999998,9.0859999999999996E-2
52.3,-0.38329999999999997,3.8622999999999998,9.0870000000000006E-2
52.4,-0.38329999999999997,3.8862999999999999,9.0880000000000002E-2
52.5,-0.38329999999999997,3.9104999999999999,9.0889999999999999E-2
52.6,-0.38329999999999997,3.9348000000000001,9.0899999999999995E-2
52.7,-0.38329999999999997,3.9592000000000001,9.0910000000000005E-2
52.8,-0.38329999999999997,3.9836999999999998,9.0920000000000001E-2
52.9,-0.38329999999999997,4.0084,9.0929999999999997E-2
53,-0.38329999999999997,4.0331999999999999,9.0929999999999997E-2
53.1,-0.38329999999999997,4.0580999999999996,9.0939999999999993E-2
53.2,-0.38329999999999997,4.0831999999999997,9.0950000000000003E-2
53.3,-0.38329999999999997,4.1083999999999996,9.0959999999999999E-2
53.4,-0.38329999999999997,4.1337000000000002,9.0969999999999995E-2
53.5,-0.38329999999999997,4.1590999999999996,9.0980000000000005E-2
53.6,-0.38329999999999997,4.1845999999999997,9.0990000000000001E-2
53.7,-0.38329999999999997,4.2102000000000004,9.0990000000000001E-2
53.8,-0.38329999999999997,4.2359,9.0999999999999998E-2
53.9,-0.38329999999999997,4.2617000000000003,9.1009999999999994E-2
54,-0.38329999999999997,4.2874999999999996,9.1020000000000004E-2
54.1,-0.38329999999999997,4.3135000000000003,9.103E-2
54.2,-0.38329999999999997,4.3395000000000001,9.1039999999999996E-2
54.3,-0.38329999999999997,4.3654999999999999,9.1050000000000006E-2
54.4,-0.38329999999999997,4.3917000000000002,9.1050000000000006E-2
54.5,-0.38329999999999997,4.4179000000000004,9.1060000000000002E-2
54.6,-0.38329999999999997,4.4442000000000004,9.1069999999999998E-2
54.7,-0.38329999999999997,4.4705000000000004,9.1079999999999994E-2
54.8,-0.38329999999999997,4.4969000000000001,9.1090000000000004E-2
54.9,-0.38329999999999997,4.5232999999999999,9.1090000000000004E-2
55,-0.38329999999999997,4.5498000000000003,9.11E-2
55.1,-0.38329999999999997,4.5762999999999998,9.1109999999999997E-2
55.2,-0.38329999999999997,4.6029,9.1120000000000007E-2
55.3,-0.38329999999999997,4.6295000000000002,9.1130000000000003E-2
55.4,-0.38329999999999997,4.6561000000000003,9.1130000000000003E-2
55.5,-0.38329999999999997,4.6826999999999996,9.1139999999999999E-2
55.6,-0.38329999999999997,4.7093999999999996,9.1149999999999995E-2
55.7,-0.38329999999999997,4.7361000000000004,9.1160000000000005E-2
55.8,-0.38329999999999997,4.7628000000000004,9.1160000000000005E-2
55.9,-0.38329999999999997,4.7895000000000003,9.1170000000000001E-2
56,-0.38329999999999997,4.8162000000000003,9.1179999999999997E-2
56.1,-0.38329999999999997,4.843,9.1189999999999993E-2
56.2,-0.38329999999999997,4.8696999999999999,9.1189999999999993E-2
56.3,-0.38329999999999997,4.8963999999999999,9.1200000000000003E-2
56.4,-0.38329999999999997,4.9231999999999996,9.1209999999999999E-2
56.5,-0.38329999999999997,4.95,9.1209999999999999E-2
56.6,-0.38329999999999997,4.9767000000000001,9.1219999999999996E-2
56.7,-0.38329999999999997,5.0034000000000001,9.1230000000000006E-2
56.8,-0.38329999999999997,5.0301999999999998,9.1230000000000006E-2
56.9,-0.38329999999999997,5.0568999999999997,9.1240000000000002E-2
57,-0.38329999999999997,5.0837000000000003,9.1249999999999998E-2
57.1,-0.38329999999999997,5.1104000000000003,9.1249999999999998E-2
57.2,-0.38329999999999997,5.1371000000000002,9.1259999999999994E-2
57.3,-0.38329999999999997,5.1638999999999999,9.1259999999999994E-2
57.4,-0.38329999999999997,5.1905999999999999,9.1270000000000004E-2
57.5,-0.38329999999999997,5.2172999999999998,9.128E-2
57.6,-0.38329999999999997,5.2439999999999998,9.128E-2
57.7,-0.38329999999999997,5.2706999999999997,9.1289999999999996E-2
57.8,-0.38329999999999997,5.2973999999999997,9.1289999999999996E-2
57.9,-0.38329999999999997,5.3239999999999998,9.1300000000000006E-2
58,-0.38329999999999997,5.3506999999999998,9.1300000000000006E-2
58.1,-0.38329999999999997,5.3773,9.1310000000000002E-2
58.2,-0.38329999999999997,5.4039000000000001,9.1310000000000002E-2
58.3,-0.38329999999999997,5.4303999999999997,9.1310000000000002E-2
58.4,-0.38329999999999997,5.4569000000000001,9.1319999999999998E-2
58.5,-0.38329999999999997,5.4833999999999996,9.1319999999999998E-2
58.6,-0.38329999999999997,5.5098000000000003,9.1329999999999995E-2
58.7,-0.38329999999999997,5.5362,9.1329999999999995E-2
58.8,-0.38329999999999997,5.5625,9.1329999999999995E-2
58.9,-0.38329999999999997,5.5888,9.1340000000000005E-2
59,-0.38329999999999997,5.6151,9.1340000000000005E-2
59.1,-0.38329999999999997,5.6413000000000002,9.1340000000000005E-2
59.2,-0.38329999999999997,5.6673999999999998,9.1350000000000001E-2
59.3,-0.38329999999999997,5.6935000000000002,9.1350000000000001E-2
59.4,-0.38329999999999997,5.7195,9.1350000000000001E-2
59.5,-0.38329999999999997,5.7454000000000001,9.1350000000000001E-2
59.6,-0.38329999999999997,5.7713000000000001,9.1359999999999997E-2
59.7,-0.38329999999999997,5.7971000000000004,9.1359999999999997E-2
59.8,-0.38329999999999997,5.8228999999999997,9.1359999999999997E-2
59.9,-0.38329999999999997,5.8484999999999996,9.1359999999999997E-2
60,-0.38329999999999997,5.8742000000000001,9.1359999999999997E-2
60.1,-0.38329999999999997,5.8997000000000002,9.1359999999999997E-2
60.2,-0.38329999999999997,5.9252000000000002,9.1370000000000007E-2
60.3,-0.38329999999999997,5.9507000000000003,9.1370000000000007E-2
60.4,-0.38329999999999997,5.9760999999999997,9.1370000000000007E-2
60.5,-0.38329999999999997,6.0014000000000003,9.1370000000000007E-2
60.6,-0.38329999999999997,6.0266000000000002,9.1370000000000007E-2
60.7,-0.38329999999999997,6.0518000000000001,9.1370000000000007E-2
60.8,-0.38329999999999997,6.0769000000000002,9.1370000000000007E-2
60.9,-0.38329999999999997,6.1020000000000003,9.1370000000000007E-2
61,-0.38329999999999997,6.1269999999999998,9.1370000000000007E-2
61.1,-0.38329999999999997,6.1519000000000004,9.1370000000000007E-2
61.2,-0.38329999999999997,6.1768000000000001,9.1359999999999997E-2
61.3,-0.38329999999999997,6.2016999999999998,9.1359999999999997E-2
61.4,-0.38329999999999997,6.2263999999999999,9.1359999999999997E-2
61.5,-0.38329999999999997,6.2511000000000001,9.1359999999999997E-2
61.6,-0.38329999999999997,6.2758000000000003,9.1359999999999997E-2
61.7,-0.38329999999999997,6.3003999999999998,9.1359999999999997E-2
61.8,-0.38329999999999997,6.3249000000000004,9.1350000000000001E-2
61.9,-0.38329999999999997,6.3494000000000002,9.1350000000000001E-2
62,-0.38329999999999997,6.3738000000000001,9.1350000000000001E-2
62.1,-0.38329999999999997,6.3981000000000003,9.1350000000000001E-2
62.2,-0.38329999999999997,6.4223999999999997,9.1340000000000005E-2
62.3,-0.38329999999999997,6.4466000000000001,9.1340000000000005E-2
62.4,-0.38329999999999997,6.4707999999999997,9.1340000000000005E-2
62.5,-0.38329999999999997,6.4947999999999997,9.1329999999999995E-2
62.6,-0.38329999999999997,6.5189000000000004,9.1329999999999995E-2
62.7,-0.38329999999999997,6.5429000000000004,9.1329999999999995E-2
62.8,-0.38329999999999997,6.5667999999999997,9.1319999999999998E-2
62.9,-0.38329999999999997,6.5906000000000002,9.1319999999999998E-2
63,-0.38329999999999997,6.6143999999999998,9.1310000000000002E-2
63.1,-0.38329999999999997,6.6382000000000003,9.1310000000000002E-2
63.2,-0.38329999999999997,6.6619000000000002,9.1300000000000006E-2
63.3,-0.38329999999999997,6.6856,9.1300000000000006E-2
63.4,-0.38329999999999997,6.7092000000000001,9.1289999999999996E-2
63.5,-0.38329999999999997,6.7328000000000001,9.1289999999999996E-2
63.6,-0.38329999999999997,6.7563000000000004,9.128E-2
63.7,-0.38329999999999997,6.7797999999999998,9.128E-2
63.8,-0.38329999999999997,6.8033000000000001,9.1270000000000004E-2
63.9,-0.38329999999999997,6.8266999999999998,9.1270000000000004E-2
64,-0.38329999999999997,6.8501000000000003,9.1259999999999994E-2
64.099999999999994,-0.38329999999999997,6.8734000000000002,9.1249999999999998E-2
64.2,-0.38329999999999997,6.8967000000000001,9.1249999999999998E-2
64.3,-0.38329999999999997,6.9199000000000002,9.1240000000000002E-2
64.400000000000006,-0.38329999999999997,6.9431000000000003,9.1230000000000006E-2
64.5,-0.38329999999999997,6.9661999999999997,9.1230000000000006E-2
64.599999999999994,-0.38329999999999997,6.9893000000000001,9.1219999999999996E-2
64.7,-0.38329999999999997,7.0124000000000004,9.1209999999999999E-2
64.8,-0.38329999999999997,7.0354000000000001,9.1200000000000003E-2
64.900000000000006,-0.38329999999999997,7.0583,9.1200000000000003E-2
65,-0.38329999999999997,7.0811999999999999,9.1189999999999993E-2
65.099999999999994,-0.38329999999999997,7.1040999999999999,9.1179999999999997E-2
65.2,-0.38329999999999997,7.1269,9.1170000000000001E-2
65.3,-0.38329999999999997,7.1497000000000002,9.1160000000000005E-2
65.400000000000006,-0.38329999999999997,7.1723999999999997,9.1160000000000005E-2
65.5,-0.38329999999999997,7.1950000000000003,9.1149999999999995E-2
65.599999999999994,-0.38329999999999997,7.2176999999999998,9.1139999999999999E-2
65.7,-0.38329999999999997,7.2401999999999997,9.1130000000000003E-2
65.8,-0.38329999999999997,7.2626999999999997,9.1120000000000007E-2
65.900000000000006,-0.38329999999999997,7.2851999999999997,9.1109999999999997E-2
66,-0.38329999999999997,7.3075999999999999,9.11E-2
66.099999999999994,-0.38329999999999997,7.33,9.1090000000000004E-2
66.2,-0.38329999999999997,7.3522999999999996,9.1090000000000004E-2
66.3,-0.38329999999999997,7.3745000000000003,9.1079999999999994E-2
66.400000000000006,-0.38329999999999997,7.3967000000000001,9.1069999999999998E-2
66.5,-0.38329999999999997,7.4188999999999998,9.1060000000000002E-2
66.599999999999994,-0.38329999999999997,7.4409999999999998,9.1050000000000006E-2
66.7,-0.38329999999999997,7.4630000000000001,9.1039999999999996E-2
66.8,-0.38329999999999997,7.4850000000000003,9.103E-2
66.900000000000006,-0.38329999999999997,7.5068999999999999,9.1020000000000004E-2
67,-0.38329999999999997,7.5288000000000004,9.1009999999999994E-2
67.099999999999994,-0.38329999999999997,7.5507,9.0999999999999998E-2
67.2,-0.38329999999999997,7.5724,9.0990000000000001E-2
67.3,-0.38329999999999997,7.5941999999999998,9.0980000000000005E-2
67.400000000000006,-0.38329999999999997,7.6158000000000001,9.0969999999999995E-2
67.5,-0.38329999999999997,7.6375000000000002,9.0959999999999999E-2
67.599999999999994,-0.38329999999999997,7.6589999999999998,9.0950000000000003E-2
67.7,-0.38329999999999997,7.6806000000000001,9.0939999999999993E-2
67.8,-0.38329999999999997,7.702,9.0929999999999997E-2
67.900000000000006,-0.38329999999999997,7.7233999999999998,9.0910000000000005E-2
68,-0.38329999999999997,7.7447999999999997,9.0899999999999995E-2
68.099999999999994,-0.38329999999999997,7.7660999999999998,9.0889999999999999E-2
68.2,-0.38329999999999997,7.7873999999999999,9.0880000000000002E-2
68.3,-0.38329999999999997,7.8086000000000002,9.0870000000000006E-2
68.400000000000006,-0.38329999999999997,7.8297999999999996,9.0859999999999996E-2
68.5,-0.38329999999999997,7.8509000000000002,9.085E-2
68.599999999999994,-0.38329999999999997,7.8719999999999999,9.0840000000000004E-2
68.7,-0.38329999999999997,7.8929999999999998,9.0829999999999994E-2
68.8,-0.38329999999999997,7.9139999999999997,9.0819999999999998E-2
68.900000000000006,-0.38329999999999997,7.9349999999999996,9.0800000000000006E-2
69,-0.38329999999999997,7.9558999999999997,9.0789999999999996E-2
69.099999999999994,-0.38329999999999997,7.9767999999999999,9.078E-2
69.2,-0.38329999999999997,7.9976000000000003,9.0770000000000003E-2
69.3,-0.38329999999999997,8.0183999999999997,9.0759999999999993E-2
69.400000000000006,-0.38329999999999997,8.0391999999999992,9.0749999999999997E-2
69.5,-0.38329999999999997,8.0599000000000007,9.0740000000000001E-2
69.599999999999994,-0.38329999999999997,8.0806000000000004,9.0719999999999995E-2
69.7,-0.38329999999999997,8.1012000000000004,9.0709999999999999E-2
69.8,-0.38329999999999997,8.1218000000000004,9.0700000000000003E-2
69.900000000000006,-0.38329999999999997,8.1424000000000003,9.0690000000000007E-2
70,-0.38329999999999997,8.1630000000000003,9.0679999999999997E-2
70.099999999999994,-0.38329999999999997,8.1835000000000004,9.0670000000000001E-2
70.2,-0.38329999999999997,8.2039000000000009,9.0649999999999994E-2
70.3,-0.38329999999999997,8.2243999999999993,9.0639999999999998E-2
70.400000000000006,-0.38329999999999997,8.2447999999999997,9.0630000000000002E-2
70.5,-0.38329999999999997,8.2651000000000003,9.0620000000000006E-2
70.599999999999994,-0.38329999999999997,8.2855000000000008,9.0609999999999996E-2
70.7,-0.38329999999999997,8.3057999999999996,9.0590000000000004E-2
70.8,-0.38329999999999997,8.3261000000000003,9.0579999999999994E-2
70.900000000000006,-0.38329999999999997,8.3463999999999992,9.0569999999999998E-2
71,-0.38329999999999997,8.3666,9.0560000000000002E-2
71.099999999999994,-0.38329999999999997,8.3869000000000007,9.0550000000000005E-2
71.2,-0.38329999999999997,8.4070999999999998,9.0529999999999999E-2
71.3,-0.38329999999999997,8.4273000000000007,9.0520000000000003E-2
71.400000000000006,-0.38329999999999997,8.4474,9.0509999999999993E-2
71.5,-0.38329999999999997,8.4675999999999991,9.0499999999999997E-2
71.599999999999994,-0.38329999999999997,8.4877000000000002,9.0480000000000005E-2
71.7,-0.38329999999999997,8.5077999999999996,9.0469999999999995E-2
71.8,-0.38329999999999997,8.5277999999999992,9.0459999999999999E-2
71.900000000000006,-0.38329999999999997,8.5479000000000003,9.0450000000000003E-2
72,-0.38329999999999997,8.5678999999999998,9.0429999999999996E-2
72.099999999999994,-0.38329999999999997,8.5878999999999994,9.042E-2
72.2,-0.38329999999999997,8.6077999999999992,9.0410000000000004E-2
72.3,-0.38329999999999997,8.6277000000000008,9.0399999999999994E-2
